"LONGITUDE","LATITUDE","TYPEQU"
"-0.5717558","44.8405003","historic"
"-0.5717056","44.8407391","historic"
"-0.5677132","44.8381781","historic"
"-0.5678485","44.8383662","historic"
"-0.5680748","44.8386406","historic"
"-0.5681502","44.838765","historic"
"-0.5683057","44.8389575","historic"
"-0.5684612","44.8391525","historic"
"-0.5642609","44.834884","historic"
"-0.5648423","44.8354076","historic"
"-0.5667363","44.8372484","historic"
"-0.566763","44.8372759","historic"
"-0.56692","44.8374006","historic"
"-0.5669538","44.837443","historic"
"-0.5663195","44.8368189","historic"
"-0.566303","44.8368531","historic"
"0.0921357","44.9472631","historic"
"0.3270488","44.9850045","historic"
"-0.5275213","44.8302918","historic"
"0.0934549","44.5278382","historic"
"0.0933286","44.530261","historic"
"-1.0713924","44.6361774","historic"
"0.2301566","45.1262266","historic"
"-0.7847312","45.4840953","historic"
"-0.5702995","44.8392615","historic"
"-0.5336501","44.8777014","historic"
"-0.282042","44.777009","historic"
"0.1529238","44.8450656","historic"
"0.2559419","45.0360987","historic"
"-1.1103729","45.5288441","historic"
"-1.1095673","45.529708","historic"
"-1.10929","45.5301225","historic"
"-0.5340071","44.6742326","historic"
"-0.5339385","44.9718351","historic"
"-0.6386123","44.7061322","historic"
"-0.6172559","45.5820997","historic"
"-0.6185005","45.5714573","historic"
"-0.5648096","44.8472522","historic"
"-0.566393","44.8334914","historic"
"-0.3119094","44.7692653","historic"
"0.2727884","44.9973255","historic"
"-0.3062817","44.8869329","historic"
"-0.4486216","44.7040334","historic"
"-0.5981111","44.6509024","historic"
"-0.4154821","44.5668937","historic"
"-0.6307558","44.6303249","historic"
"-0.6492732","44.8856092","historic"
"0.0981431","44.4974617","historic"
"-0.0896374","44.5837168","historic"
"-0.4621734","45.0218631","historic"
"-0.6518603","44.874706","historic"
"-0.1738741","44.4810404","historic"
"0.1202262","44.925912","historic"
"-0.5726108","44.8728289","historic"
"0.3070841","44.9300489","historic"
"-0.4974877","44.8972758","historic"
"-0.9072735","45.5338669","historic"
"-0.0288931","44.6193051","historic"
"-0.726635","45.436403","historic"
"-0.2444351","44.7850559","historic"
"-1.1464874","44.3257693","historic"
"-0.3729157","44.5978485","historic"
"-0.047669","44.4273042","historic"
"-0.081115","45.364966","historic"
"-0.2012382","45.4476245","historic"
"-0.0730932","44.748449","historic"
"-0.076646","44.7517823","historic"
"-0.0752927","44.7491338","historic"
"-0.0681527","44.8116619","historic"
"-0.5457589","45.5787518","historic"
"-0.3567358","45.0243735","historic"
"-0.3223458","45.0201957","historic"
"-0.3065412","44.9673799","historic"
"-0.4804048","44.6713715","historic"
"-0.4433911","45.1119484","historic"
"-1.0394313","45.3940554","historic"
"-0.978608","45.4181715","historic"
"-0.7896679","45.0758313","historic"
"-0.9136401","45.379095","historic"
"-0.9381092","45.363696","historic"
"-0.5922337","45.0593298","historic"
"-0.3590814","44.9755965","historic"
"-0.3709606","44.9646524","historic"
"-0.3408632","44.9572749","historic"
"-0.570208","45.0740646","historic"
"0.2190272","44.8104002","historic"
"-0.5608085","45.2680615","historic"
"-0.3144026","44.8975522","historic"
"-0.3348331","44.5897795","historic"
"-0.3351406","44.5900419","historic"
"-1.0930685","44.8728152","historic"
"-0.4880267","44.755118","historic"
"-1.0619228","45.356324","historic"
"-1.0635418","45.5707575","historic"
"-0.2119035","45.4840507","historic"
"-0.7524218","45.1761978","historic"
"-0.817698","45.1991643","historic"
"-0.7729036","45.1767985","historic"
"-0.792225","45.1835725","historic"
"-0.7690996","45.1900374","historic"
"-0.7566786","45.2120098","historic"
"-0.7705337","45.2083485","historic"
"-0.7699173","45.2110788","historic"
"-0.9035465","45.3841434","historic"
"-0.4661235","44.4329467","historic"
"-0.1972212","44.7601214","historic"
"-0.1589103","44.7511731","historic"
"-0.5459393","45.5788116","historic"
"-0.547989","45.5785741","historic"
"-0.433826","45.4451345","historic"
"-0.4621664","45.4499561","historic"
"-0.4584613","45.4495156","historic"
"0.2550073","44.6234612","historic"
"-0.3007903","45.1659727","historic"
"-0.6908454","45.4571339","historic"
"-0.5699207","45.3728201","historic"
"-0.129883","45.0406385","historic"
"-0.1576601","45.1649102","historic"
"-0.6276605","44.7691376","historic"
"0.2685143","44.2056902","historic"
"-0.6424455","44.7603001","leisure"
"0.1813253","44.438363","historic"
"0.0260938","44.4486555","historic"
"0.0280867","44.4496008","historic"
"-1.2972605","44.2164283","historic"
"-0.6655946","44.7668835","leisure"
"0.2763813","44.29192","historic"
"0.2953385","44.4618683","historic"
"0.2940926","44.4604463","historic"
"0.295139","44.4559312","historic"
"0.2595914","44.2053049","historic"
"0.1541504","44.2392137","historic"
"0.3180386","44.2894705","historic"
"0.3077508","44.3397775","historic"
"0.2434367","44.3286555","historic"
"0.322514","44.1973867","historic"
"-0.2861576","45.0836817","historic"
"0.0518193","44.2556331","historic"
"0.0027038","44.4161978","historic"
"0.0271663","44.2725363","historic"
"0.2541579","44.728407","historic"
"0.237007","44.7407967","historic"
"-0.9566416","45.3225914","historic"
"-0.2137106","44.3908318","historic"
"-0.6050168","45.148073","historic"
"-0.5949685","44.83649","historic"
"-0.4106632","45.1400971","historic"
"0.1447691","44.2070443","historic"
"-0.0019786","44.4809275","historic"
"-1.0524942","44.6443741","historic"
"-0.0063567","44.9458066","historic"
"-0.8498319","45.3449154","historic"
"-0.8784925","45.2852243","historic"
"-0.7923782","45.3196928","historic"
"-0.91648","45.3460877","historic"
"-0.9673816","45.4123325","historic"
"-0.971257","45.3624025","historic"
"-0.021408","45.1328126","historic"
"0.1243307","44.3405398","historic"
"0.3291831","44.8066741","historic"
"0.3152869","44.8050166","historic"
"0.0956455","44.3860526","historic"
"0.0967141","44.3931632","historic"
"0.2402675","44.3726192","historic"
"0.0692652","44.4101393","historic"
"0.1229618","45.5570747","historic"
"-0.1085348","45.1448023","historic"
"0.0841057","44.3139849","historic"
"0.0817266","44.7973396","historic"
"-0.03396","44.8347099","historic"
"-0.1042447","44.5436767","historic"
"0.0108697","44.3318227","historic"
"-0.120512","44.8995754","historic"
