"@id","@lon","@lat","bBox","name","alt_name","short_name","name:fr","local_name","official_name","old_name","operator","brand","ref","aerialway","aerodrome","aeroway","amenity","boundary","bridge","craft","emergency","heritage","highway","historic","junction","landuse","leisure","man_made","military","mountain_pass","natural","office","place","railway","shop","tourism","tunnel","waterway","distance_km"
280482768,"-0.5597643","44.8140891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,"3.512221327221364"
280728207,"-0.5308705","44.838184",,"Lidl",,,,,,,"Lidl","Lidl",,,,,,,,,,,,,,,,,,,,,,,"supermarket",,,,"4.565618453821504"
280933460,"-0.5707251","44.8429406",,"Bourse / Jean Jaurès",,,,,,,"Urbis park",,,,,,"parking",,,,,,,,,,,,,,,,,,,,,,"1.5124470466711497"
280969303,"-0.5434248","44.844768",,"La Benauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"suburb",,,,,,"3.648388700064239"
280982422,"-0.611559","44.8326301",,"Mairie de quartier",,,,,,,,,,,,,"townhall",,,,,,,,,,,,,,,,,,,,,,"1.914145658735939"
280982442,"-0.61107","44.8322323",,"Bordeaux Saint-Augustin",,,,,,,"La Poste","La Poste",,,,,"post_office",,,,,,,,,,,,,,,,,,,,,,"1.892361753763412"
281027480,"-0.6050356","44.8310729",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.5163400338725717"
281032310,"-0.5706424","44.8496979",,"Cité Mondiale",,,,,,,"PARCUB",,,,,,"parking",,,,,,,,,,,,,,,,,,,,,,"1.9169209278529307"
281070637,"-0.564544","44.8353526",,"Salinières",,,,,,,"Urbis park",,,,,,"parking",,,,,,,,,,,,,,,,,,,,,,"1.927798768897134"
281131901,"-0.6143385","44.8271195",,"François Mitterrand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"2.373214444145394"
281175978,"-0.6059197","44.8366167",,,,,,,,,,,"A0O5M1",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.3785660610740662"
281223830,"-0.5922511","44.8360527",,,,,,,,,,,,,,,,,,,,,,"memorial",,,,,,,,,,,,,,,"0.3680046599919014"
281302364,"-0.6256553","44.8266811",,"Fontaine d'Arlac",,,,,,,"Keolis Bordeaux Métropole",,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"3.193022384082025"
281302661,"-0.6339006","44.8302566",,"Alfred de Vigny",,,,,,,"Keolis Bordeaux Métropole",,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"3.6860913250659113"
281676193,"-0.5980198","44.8275997",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.385496211089851"
281678746,"-0.6035487","44.8347107",,,,,,,,,"Bordeaux Métropole",,,,,,"recycling",,,,,,,,,,,,,,,,,,,,,,"1.2401957818494416"
281727110,"-0.6107992","44.8321084",,"Pharmacie Saint-Augustin",,,,,,,,,,,,,"pharmacy",,,,,,,,,,,,,,,,,,,,,,"1.8771393727959695"
281727175,"-0.6104263","44.8335957",,"Pharmacie Flornoy",,,,,,,,,,,,,"pharmacy",,,,,,,,,,,,,,,,,,,,,,"1.7965366866054386"
281727867,"-0.6117705","44.8324937",,"Pharmacie Bavouzet",,,,,,,,,,,,,"pharmacy",,,,,,,,,,,,,,,,,,,,,,"1.9348505140657244"
281805229,"-0.6206038","44.8273282",,"Auchan",,,,,,,"Auchan","Auchan",,,,,,,,,,,,,,,,,,,,,,,"supermarket",,,,"2.7994862124560767"
281924333,"-0.5861934","44.8274613",,,,,,,,,"La Poste",,"A0O4Y2",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.1996196026886643"
282046859,"-0.5812003","44.8301868",,,,,,,,,"La Poste",,"A0O5D5",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.0584937618710184"
282078480,"-0.570998","44.8489132",,"Hôtel Fenwick",,,,,,,,,,,,,,,,,,"3.0",,"house",,,,,,,,,,,,,,,"1.8381198667906642"
282222590,"-0.5508445","44.8153145",,"Terres Neuves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"3.91704620842069"
282222634,"-0.5503924","44.8198566",,"Carle Vernet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"3.6405985973619415"
282350906,"-0.5932807","44.8278172",,,,,,,,,"La Poste",,"A0O5H2",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.2027479122458984"
282408288,"-0.5815728","44.8362776",,"Palais de Justice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"0.5930491090492184"
282527114,"-0.6424595","44.8610321",,"Le Grand Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"suburb",,,,,,"4.96023269325683"
283940248,"-0.5888346","44.8342114",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"0.4344883579843069"
285936944,"-0.6247429","44.8218851",,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,"3.378969507662554"
285937052,"-0.6258936","44.8248232",,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,"3.297555000207116"
286760062,"-0.556048","44.8112733",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.941134828715115"
286764935,"-0.5641874","44.8116958",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.514713066868896"
286766692,"-0.5603095","44.8078879",,"Bègles",,,,,,,"La Poste","La Poste",,,,,"post_office",,,,,,,,,,,,,,,,,,,,,,"4.03690379448997"
286771058,"-0.5467883","44.8108914",,,,,,,,,,,,,,,"parking",,,,,,,,,,,,,,,,,,,,,,"4.482862656484491"
286771133,"-0.5461285","44.8110987",,,,,,,,,,,,,,,"toilets",,,,,,,,,,,,,,,,,,,,,,"4.506115945027798"
286778233,"-0.5458081","44.811226",,"Théâtre en Miettes",,,,,,,,,,,,,"theatre",,,,,,,,,,,,,,,,,,,,,,"4.515664326099593"
286782913,"-0.5430019","44.8086365",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.873033518483313"
286785208,"-0.547028","44.8176184",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.000611349644581"
288210651,"-0.5336301","44.8563296",,"Cenon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stop",,,,,"4.794787428948478"
288505848,"-0.5338994","44.8519186",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.589438678816876"
288510345,"-0.5425323","44.8501773",,"École maternelle Thiers",,,,,,,,,,,,,"school",,,,,,,,,,,,,,,,,,,,,,"3.8818204062839965"
288831843,"-0.5569406","44.8520032",,,,,,,,,"La Poste",,"A0O4V5",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.941250078720246"
288833138,"-0.5454548","44.8508816",,,,,,,,,,,,,,,,,,,,,,,,,"playground",,,,,,,,,,,,"3.695152321971162"
288834314,"-0.5575426","44.8458223",,,,,,,,,"La Poste",,"A0O5M8",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.6014519638152263"
288835861,"-0.5628579","44.8452558",,"Maison de quartier Cœur de Bastide",,,,,,,,,,,,,"community_centre",,,,,,,,,,,,,,,,,,,,,,"2.1853320090715065"
288846178,"-0.562081","44.8505459",,"Guinguette Alriq",,,,,,,,,,,,,"pub",,,,,,,,,,,,,,,,,,,,,,"2.5114622047426334"
288852900,"-0.5589918","44.8434089",,"Ups Carrefour Bastide - Urbis Park",,,,,,,"URBIS_PARK",,,,,,"parking",,,,,,,,,,,,,,,,,,,,,,"2.4146767185758966"
289129915,"-0.5469998","44.8461507",,,,,,,,,"La Poste",,"A0O4Z7",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.409015256412691"
289136574,"-0.5437983","44.8452866",,,,,,,,,"La Poste",,"A0O4Z9",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.63166500017778"
289136958,"-0.5433176","44.8427732",,,,,,,,,"La Poste",,"A0O4Z8",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.6184685161888552"
289137036,"-0.5462187","44.8432479",,,,,,,,,"La Poste",,"A0O5N1",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.4000395040879856"
289137113,"-0.5454892","44.8431262",,,,,,,,,,,,,,,"toilets",,,,,,,,,,,,,,,,,,,,,,"3.4547134462525806"
289137120,"-0.5458926","44.8419577",,,,,,,,,,,,,,,"parking",,,,,,,,,,,,,,,,,,,,,,"3.4045729024104268"
289140331,"-0.5442017","44.8463637",,,,,,,,,,,,,,,"parking",,,,,,,,,,,,,,,,,,,,,,"3.6288839741204666"
290398372,"-0.5521727","44.8432129",,"École primaire Sainte-Marie Bastide",,,,,,,,,,,,,"school",,,,,,,,,,,,,,,,,,,,,,"2.936259713365787"
290398962,"-0.5528851","44.8427017",,"École maternelle Sainte-Marie Bastide",,,,,,,,,,,,,"school",,,,,,,,,,,,,,,,,,,,,,"2.8703997538502626"
290399087,"-0.5531169","44.8431338",,"Collège Sainte-Marie Bastide",,,,,,,,,,,,,"school",,,,,,,,,,,,,,,,,,,,,,"2.8613202178916555"
290596276,"-0.5727531","44.8353225",,,,,,,,,,,,,,,"parking_entrance",,,,,,,,,,,,,,,,,,,,,,"1.291955767530585"
290732448,"-0.5329696","44.854085",,,,,,,,,,,,,,,,,,,,,,,,,"park",,,,,,,,,,,,"4.7434141439898605"
290734369,"-0.5319598","44.8529493",,,,,,,,,"La Poste",,"A0O5S8",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.7725418419503445"
290740695,"-0.5403299","44.8523861",,,,,,,,,"La Poste",,"A5P7L3",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.133419254169104"
290820208,"-0.5991361","44.8447483",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.1113595079367817"
290936492,"-0.5707099","44.83728",,,,,,,,,"La Poste",,"A0O5O6",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.4186421514495737"
290941363,"-0.5720016","44.8371843",,,,,,,,,,,,,,,"fountain",,,,,,,,,,,,,,,,,,,,,,"1.3175418825460092"
292705753,"-0.5526817","44.8444166",,,,,,,,,"La Poste",,"A0O5A6",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.925840096004118"
294172933,"-0.5931881","44.8330956",,"Gaviniès",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"0.665119036372969"
294178377,"-0.5521098","44.8225557",,"Belcier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"3.3650532030563016"
294321184,"-0.5633482","44.8344887",,"Saint-Michel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"2.0380200495591088"
297921330,"-0.5799912","44.8304812",,"Le Lucifer",,,,,,,,,,,,,"pub",,,,,,,,,,,,,,,,,,,,,,"1.0885903329059776"
297922373,"-0.6109449","44.8317468",,"Maison de quartier des JSA","JSA",,,,,,,,,,,,"community_centre",,,,,,,,,,,,,,,,,,,,,,"1.9025022448005267"
299283076,"-0.5786747","44.8307916",,,,,,,,,"La Poste",,"A0O4Y4",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.1315683819593008"
304608197,"-0.5895221","44.8759017",,,,,,,,,"La Poste",,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.199478987749187"
304608658,"-0.6267951","44.855809",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.602313756600809"
304608670,"-0.6306182","44.8513162",,,,,,,,,,,"A0O5I6",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.6303794690181346"
304839608,"-0.6347757","44.853132",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.012856335783063"
304843134,"-0.6369807","44.8601704",,,,,,,,,,,,,,,,,,,,,,,,,"playground",,,,,,,,,,,,"4.541574404061188"
304848610,"-0.6162228","44.8644832",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.6535085671937044"
304850224,"-0.5971232","44.8723968",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.868305608570878"
305007354,"-0.603087","44.8703503",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.7602272969964265"
305035905,"-0.6016989","44.849659",,,,,,,,,"La Poste",,"A0O5K4",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.6478032255761426"
305036022,"-0.6198574","44.852244",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.9267583696812745"
305036070,"-0.6227905","44.8493369",,,,,,,,,,,"A0O5I7",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.9758570973702025"
306389594,"-0.5944072","44.8328421",,,,,,,,,,,,,,,"toilets",,,,,,,,,,,,,,,,,,,,,,"0.7440845828142425"
306390716,"-0.6103006","44.8325592",,,,,,,,,"Bordeaux Métropole",,,,,,"recycling",,,,,,,,,,,,,,,,,,,,,,"1.822758869978941"
307442247,"-0.6282869","44.8237129",,"Crèche Multi-Accueil ""Au Fil de l'Eau""",,,,,,,,,,,,,"kindergarten",,,,,,,,,,,,,,,,,,,,,,"3.5221538229941776"
308673566,"-0.5912813","44.8800039",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.659514599199096"
308995664,"-0.6123255","44.8652238",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.5478475643341194"
308995738,"-0.6080486","44.8688234",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.7421694695189363"
310094051,"-0.6229028","44.8493153",,"Pharmacie Bérard-Argivier",,,,,,,,,,,,,"pharmacy",,,,,,,,,,,,,,,,,,,,,,"2.982919528941552"
310212089,"-0.6197676","44.8527002",,"Pharmacie de Lestonnat",,,,,,,,,,,,,"pharmacy",,,,,,,,,,,,,,,,,,,,,,"2.948318585814984"
310221192,"-0.6198375","44.853219",,"Le Cerey",,,,,,,,,,,,,"cafe",,,,,,,,,,,,,,,,,,,,,,"2.984955691312052"
310526655,"-0.6393569","44.8524062",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.314550235169777"
310572847,"-0.6433229","44.8588584",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.900864186984055"
310573618,"-0.6398296","44.8630015",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.902970818367655"
310576524,"-0.63401","44.8604606",,,,,,,,,"La Poste",,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.363963235137456"
310576667,"-0.6288176","44.8589071",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.929278670979975"
310583841,"-0.6321747","44.8647221",,,,,,,,,,,,,,,,,,,,,,,,,"playground",,,,,,,,,,,,"4.538606825240372"
310797414,"-0.6241064","44.8524798",,,,,,,,,"La Poste",,"A6G3X3",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"3.228193399823406"
310798846,"-0.6080546","44.8595826",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.8376030976545117"
310798973,"-0.6075019","44.8588203",,"Auchan",,,,,,,"Auchan","Auchan",,,,,,,,,,,,,,,,,,,,,,,"supermarket",,,,"2.7427465310569037"
310800342,"-0.6091529","44.8601963",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.942176143148036"
311821174,"-0.5678988","44.8379401",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.6379634125639349"
312385800,"-0.5929917","44.8547067",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.8757019285314247"
314692059,"-0.6479687","44.8308545",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.7623671585229985"
314692466,"-0.6396392","44.8441357",,,,,,,,,"La Poste",,"A0O6H3",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"4.089407005923784"
317829081,"-0.5548663","44.8593732",,,,,,,,,,,,,,,"parking_entrance",,,,,,,,,,,,,,,,,,,,,,"3.563224961226646"
317941817,"-0.5855196","44.827623",,"Aux P'tits Délices",,,,,,,,,,,,,"fast_food",,,,,,,,,,,,,,,,,,,,,,"1.1916696238720799"
320175801,"-0.5856543","44.8385716",,"Auchan",,,,,,,,"Auchan",,,,,,,,,,,,,,,,,,,,,,,"supermarket",,,,"0.23930837592936488"
331887925,"-0.5857687","44.8429429",,,,,,,,,,,,,,,,,,,,,,"archaeological_site",,,,,,,,,,,,,,,"0.5814356299832282"
332466231,"-0.5821393","44.8500898",,,,,,,,,,,"A00512",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.4254633756489"
339244336,"-0.5814771","44.8519467",,,,,,,,,,,"A2G9Q1",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.637047365867491"
340103671,"-0.5831927","44.8361944",,"ibis budget",,,,,,,,,,,,,"car_rental",,,,,,,,,,,,,,,,,,,,,,"0.4789354262636741"
340465645,"-0.5881151","44.8532458",,,,,,,,,,,"A6A7Y0",,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"1.681594454718223"
343382432,"-0.5717472","44.8553241",,"La Poste Bordeaux Chartrons",,,,,,,"La Poste","La Poste",,,,,"post_office",,,,,,,,,,,,,,,,,,,,,,"2.331080634371731"
347058416,"-0.5704537","44.8563607",,"Multiaccueil Barreyre",,,,,,,,,,,,,"kindergarten",,,,,,,,,,,,,,,,,,,,,,"2.4841209642053608"
347058422,"-0.5730283","44.8617251",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.8983145127733407"
347058431,"-0.5772596","44.8550792",,,,,,,,,,,,,,,"post_box",,,,,,,,,,,,,,,,,,,,,,"2.0876748081546688"
