,LONGITUDE,LATITUDE,TYPEQU
2079,-0.777661,44.89622,E110
2080,-0.772674,44.895607,E110
2081,-0.773522,44.895775,E110
2082,-0.757132,44.894737,E110
2083,-0.757229,44.89467,E110
2084,-0.750798,44.894077,E110
2085,-0.750248,44.894005,E110
2086,-0.745286,44.893764,E110
2087,-0.745492,44.893803,E110
2088,-0.737181,44.90191,E110
2089,-0.738192,44.902233,E110
2090,-0.718376,44.895454,E110
2091,-0.718467,44.89549,E110
2092,-0.714284,44.89513,E110
2093,-0.714607,44.89523,E110
2094,-0.709422,44.891987,E110
2095,-0.709417,44.891914,E110
2096,-0.70583,44.88943,E110
2097,-0.706298,44.8898,E110
2098,-0.61577,44.85579,E110
2099,-0.678445,44.871872,E110
2100,-0.679529,44.872177,E110
2101,-0.66081,44.864056,E110
2102,-0.66052,44.863876,E110
2103,-0.737855,44.912792,E110
2104,-0.737999,44.91286,E110
2105,-0.737488,44.912804,E110
2106,-0.704306,44.88729,E110
2107,-0.702771,44.888245,E110
2108,-0.704219,44.88751,E110
2109,-0.698038,44.88721,E110
2110,-0.694334,44.886425,E110
2111,-0.691128,44.884323,E110
2112,-0.68112,44.877876,E110
2113,-0.66746,44.866325,E110
2114,-0.668351,44.866962,E110
2115,-0.629506,44.859135,E110
2116,-0.611204,44.853954,E110
2117,-0.746449,44.898262,E110
2118,-0.746492,44.89834,E110
2119,-0.732244,44.900524,E110
2120,-0.732621,44.900673,E110
2121,-0.763673,44.893578,E110
2122,-0.763029,44.89343,E110
2123,-0.714318,44.910587,E110
2124,-0.714185,44.910484,E110
2125,-0.723955,44.911873,E110
2126,-0.724341,44.911568,E110
2127,-0.722024,44.90074,E110
2128,-0.721996,44.90032,E110
2129,-0.692574,44.874126,E110
2130,-0.691724,44.873928,E110
2131,-0.688135,44.87274,E110
2132,-0.687808,44.87278,E110
2133,-0.685284,44.88028,E110
2134,-0.724891,44.90553,E110
2135,-0.724887,44.905087,E110
2136,-0.721714,44.896454,E110
2137,-0.721954,44.896824,E110
2138,-0.621103,44.857544,E110
2139,-0.744937,44.90373,E110
2140,-0.670943,44.868225,E110
2141,-0.670537,44.867638,E110
2142,-0.670663,44.868202,E110
2143,-0.672994,44.869358,E110
2144,-0.671962,44.869267,E110
2145,-0.672687,44.869312,E110
2146,-0.715207,44.906197,E110
2147,-0.719322,44.91163,E110
2148,-0.719078,44.911594,E110
2149,-0.728401,44.91254,E110
2150,-0.729176,44.91256,E110
2151,-0.727682,44.899254,E110
2152,-0.728242,44.89946,E110
2153,-0.654768,44.86293,E110
2154,-0.654122,44.862934,E110
2155,-0.624166,44.85728,E110
2156,-0.624101,44.858437,E110
2157,-0.634968,44.86031,E110
2158,-0.644683,44.862,E110
2159,-0.645326,44.86234,E110
2160,-0.744778,44.903248,E110
2161,-0.649135,44.862637,E110
2162,-0.677579,44.872597,E110
2163,-0.61677,44.811935,E110
2164,-0.61613,44.812218,E110
2165,-0.571092,44.8562,E110
2166,-0.563247,44.864944,E110
2167,-0.556589,44.869274,E110
2168,-0.557115,44.86877,E110
2169,-0.55985,44.86673,E110
2170,-0.560871,44.865856,E110
2171,-0.561898,44.865852,E110
2172,-0.568335,44.85728,E110
2173,-0.569935,44.85812,E110
2174,-0.654059,44.80163,E110
2175,-0.653089,44.801895,E110
2176,-0.646586,44.802345,E110
2177,-0.646577,44.802406,E110
2178,-0.663119,44.798267,E110
2179,-0.66294,44.798634,E110
2180,-0.663666,44.7987,E110
2181,-0.662446,44.799603,E110
2182,-0.659074,44.80031,E110
2183,-0.657833,44.800488,E110
2184,-0.668085,44.795418,E110
2185,-0.667527,44.795795,E110
2186,-0.623534,44.809032,E110
2187,-0.622936,44.809376,E110
2188,-0.636815,44.804333,E110
2189,-0.636686,44.8045,E110
2190,-0.633432,44.806057,E110
2191,-0.630655,44.806175,E110
2192,-0.632877,44.805885,E110
2193,-0.631811,44.806046,E110
2194,-0.626938,44.80743,E110
2195,-0.626627,44.80752,E110
2196,-0.688138,44.782738,E110
2197,-0.688071,44.782684,E110
2198,-0.588362,44.825855,E110
2199,-0.588523,44.825806,E110
2200,-0.588333,44.824623,E110
2201,-0.586193,44.82819,E110
2202,-0.586427,44.82729,E110
2203,-0.57807,44.832886,E110
2204,-0.67241,44.79575,E110
2205,-0.672732,44.79603,E110
2206,-0.605308,44.817204,E110
2207,-0.620393,44.810585,E110
2208,-0.620654,44.810505,E110
2209,-0.613826,44.81281,E110
2210,-0.578188,44.83116,E110
2211,-0.58171,44.82958,E110
2212,-0.583734,44.82855,E110
2213,-0.594969,44.821255,E110
2214,-0.596214,44.82033,E110
2215,-0.64182,44.802654,E110
2216,-0.641273,44.8026,E110
2217,-0.683453,44.796978,E110
2218,-0.683886,44.797405,E110
2219,-0.609411,44.815628,E110
2220,-0.608758,44.81592,E110
2221,-0.68265,44.7884,E110
2222,-0.68261,44.78529,E110
2223,-0.683166,44.785072,E110
2224,-0.567082,44.862675,E110
2225,-0.591929,44.823822,E110
2226,-0.592278,44.82373,E110
2227,-0.572003,44.854774,E110
2228,-0.571307,44.855194,E110
2229,-0.682327,44.79507,E110
2230,-0.68249,44.795036,E110
2231,-0.665514,44.79734,E110
2232,-0.665652,44.797318,E110
2233,-0.682449,44.801754,E110
2234,-0.681482,44.801876,E110
2235,-0.601885,44.818714,E110
2236,-0.602875,44.818363,E110
2237,-0.669888,44.79396,E110
2238,-0.670591,44.793476,E110
2239,-0.670609,44.79415,E110
2240,-0.562683,44.861256,E110
2241,-0.643776,44.802555,E110
2242,-0.643906,44.802612,E110
2243,-0.580947,44.84086,E110
2244,-0.573624,44.851982,E110
2245,-0.573833,44.851875,E110
2246,-0.576839,44.84676,E110
2247,-0.576129,44.848145,E110
2248,-0.564429,44.8642,E110
2249,-0.564215,44.864227,E110
2250,-0.598204,44.819363,E110
2251,-0.598886,44.819145,E110
2252,-0.561061,44.863247,E110
2253,-0.569106,44.859436,E110
2254,-0.58524,44.835285,E110
2255,-0.675783,44.800865,E110
2256,-0.675608,44.8009,E110
2257,-0.593508,44.82257,E110
2258,-0.593373,44.82263,E110
2259,-0.578999,44.83474,E110
2260,-0.579144,44.835033,E110
2261,-0.5658,44.859055,E110
2262,-0.686439,44.799664,E110
2263,-0.684482,44.8011,E110
2264,-0.684988,44.799732,E110
2265,-0.588347,44.83376,E110
2266,-0.681259,44.79326,E110
2267,-0.587019,44.830406,E110
2268,-0.692033,44.78558,E110
2269,-0.692939,44.78646,E110
2270,-0.690435,44.783806,E110
2271,-0.690876,44.784348,E110
2272,-0.5797,44.84216,E110
2273,-0.673294,44.79804,E110
2274,-0.674299,44.7985,E110
2275,-0.673381,44.798016,E110
2276,-0.677095,44.798668,E110
2277,-0.682515,44.788467,E110
2278,-0.696312,44.78887,E110
2279,-0.695436,44.78865,E110
2280,-0.700995,44.791573,E110
2281,-0.700339,44.791027,E110
2282,-0.612705,44.813503,E110
2283,-0.681207,44.792656,E110
2284,-0.566143,44.783684,E110
2285,-0.566098,44.78219,E110
2286,-0.577036,44.77232,E110
2287,-0.577248,44.772068,E110
2288,-0.569076,44.78065,E110
2289,-0.568042,44.781315,E110
2290,-0.578758,44.76975,E110
2291,-0.578973,44.769356,E110
2292,-0.573989,44.80956,E110
2293,-0.573802,44.80861,E110
2294,-0.571967,44.804043,E110
2295,-0.571673,44.803593,E110
2296,-0.573112,44.80692,E110
2297,-0.573021,44.806488,E110
2298,-0.566917,44.79149,E110
2299,-0.567081,44.79169,E110
2300,-0.566354,44.784813,E110
2301,-0.566267,44.785248,E110
2302,-0.572617,44.823418,E110
2303,-0.572537,44.823555,E110
2304,-0.572303,44.81729,E110
2305,-0.5722,44.81766,E110
2306,-0.580155,44.76666,E110
2307,-0.580081,44.766293,E110
2308,-0.566442,44.786602,E110
2309,-0.566587,44.7873,E110
2310,-0.56993,44.799873,E110
2311,-0.569652,44.79908,E110
2312,-0.571901,44.814545,E110
2313,-0.572982,44.814026,E110
2314,-0.572025,44.814705,E110
2315,-0.573927,44.81137,E110
2316,-0.57374,44.811817,E110
2317,-0.58292,44.758827,E110
2318,-0.582788,44.759136,E110
2319,-0.584338,44.75667,E110
2320,-0.58499,44.755985,E110
2321,-0.572528,44.821827,E110
2322,-0.572411,44.821568,E110
2323,-0.572981,44.77839,E110
2324,-0.573316,44.77828,E110
2325,-0.567512,44.793896,E110
2326,-0.567667,44.794132,E110
2327,-0.572545,44.826664,E110
2328,-0.572395,44.82749,E110
2329,-0.572645,44.825058,E110
2330,-0.572521,44.825493,E110
2331,-0.575033,44.77544,E110
2332,-0.575073,44.775475,E110
2333,-0.572451,44.81543,E110
2334,-0.570914,44.80161,E110
2335,-0.570755,44.801506,E110
2336,-0.572365,44.819065,E110
2337,-0.572294,44.81894,E110
2338,-0.572372,44.829716,E110
2339,-0.572303,44.829838,E110
2340,-0.583052,44.835934,E110
2341,-0.581678,44.762375,E110
2342,-0.581635,44.762295,E110
2343,-0.568211,44.796326,E110
2344,-0.568554,44.79735,E110
2345,-0.585842,44.754868,E110
2346,-0.516825,44.888783,E110
2347,-0.521319,44.885838,E110
2348,-0.521101,44.8858,E110
2349,-0.493093,44.93663,E110
2350,-0.575584,44.87399,E110
2351,-0.513192,44.90405,E110
2352,-0.51242,44.903675,E110
2353,-0.497931,44.9247,E110
2354,-0.498601,44.925262,E110
2355,-0.497497,44.928112,E110
2356,-0.497369,44.928295,E110
2357,-0.494476,44.9289,E110
2358,-0.509462,44.915974,E110
2359,-0.567386,44.86407,E110
2360,-0.567418,44.86397,E110
2361,-0.501494,44.922848,E110
2362,-0.501393,44.92285,E110
2363,-0.506435,44.91787,E110
2364,-0.506222,44.91791,E110
2365,-0.529284,44.885296,E110
2366,-0.528872,44.8852,E110
2367,-0.493362,44.936676,E110
2368,-0.488589,44.936024,E110
2369,-0.488216,44.935955,E110
2370,-0.564303,44.88197,E110
2371,-0.566107,44.88323,E110
2372,-0.485666,44.941868,E110
2373,-0.487909,44.94448,E110
2374,-0.489331,44.945095,E110
2375,-0.485706,44.941704,E110
2376,-0.505919,44.902313,E110
2377,-0.50772,44.90233,E110
2378,-0.507525,44.902252,E110
2379,-0.506221,44.90228,E110
2380,-0.484434,44.935524,E110
2381,-0.484231,44.93553,E110
2382,-0.57435,44.87413,E110
2383,-0.56827,44.879173,E110
2384,-0.568259,44.87939,E110
2385,-0.516225,44.891144,E110
2386,-0.516359,44.89126,E110
2387,-0.525626,44.884583,E110
2388,-0.526243,44.884716,E110
2389,-0.512541,44.91229,E110
2390,-0.512802,44.91199,E110
2391,-0.514597,44.90906,E110
2392,-0.51456,44.90989,E110
2393,-0.51541,44.90909,E110
2394,-0.511161,44.914143,E110
2395,-0.511496,44.913628,E110
2396,-0.547523,44.85718,E110
2397,-0.547673,44.85694,E110
2398,-0.543587,44.85965,E110
2399,-0.543151,44.85977,E110
2400,-0.574427,44.866573,E110
2401,-0.574367,44.866432,E110
2402,-0.575984,44.867153,E110
2403,-0.539703,44.85955,E110
2404,-0.53976,44.859657,E110
2405,-0.554134,44.86053,E110
2406,-0.554219,44.860664,E110
2407,-0.576389,44.87092,E110
2408,-0.531846,44.88089,E110
2409,-0.531795,44.880882,E110
2410,-0.508846,44.897617,E110
2411,-0.508898,44.89764,E110
2412,-0.53583,44.87531,E110
2413,-0.53582,44.875156,E110
2414,-0.5176,44.887794,E110
2415,-0.517562,44.888004,E110
2416,-0.517568,44.887894,E110
2417,-0.569531,44.876484,E110
2418,-0.56937,44.87654,E110
2419,-0.516465,44.89376,E110
2420,-0.516718,44.893944,E110
2421,-0.523632,44.884323,E110
2422,-0.523264,44.88452,E110
2423,-0.57067,44.874256,E110
2424,-0.570714,44.874348,E110
2425,-0.537307,44.863754,E110
2426,-0.538537,44.865788,E110
2427,-0.509424,44.896317,E110
2428,-0.509556,44.89579,E110
2429,-0.482985,44.928333,E110
2430,-0.482185,44.929558,E110
2431,-0.482716,44.92871,E110
2432,-0.489873,44.926693,E110
2433,-0.490157,44.926983,E110
2434,-0.575684,44.867012,E110
2435,-0.534506,44.877037,E110
2436,-0.534455,44.877235,E110
2437,-0.537551,44.87185,E110
2438,-0.537345,44.872406,E110
2439,-0.537743,44.86867,E110
2440,-0.537319,44.86917,E110
2441,-0.502261,44.920696,E110
2442,-0.50215,44.92095,E110
2443,-0.497932,44.95196,E110
2444,-0.497671,44.952457,E110
2445,-0.480861,44.936626,E110
2446,-0.480842,44.936726,E110
2447,-0.480894,44.931236,E110
2448,-0.480451,44.931873,E110
2449,-0.487075,44.92679,E110
2450,-0.486927,44.92665,E110
2451,-0.507899,44.899918,E110
2452,-0.507789,44.899982,E110
2453,-0.490741,44.943283,E110
2454,-0.490346,44.944073,E110
2455,-0.556625,44.86264,E110
2456,-0.557336,44.863266,E110
2457,-0.557526,44.863262,E110
2458,-0.514278,44.895676,E110
2459,-0.51487,44.89582,E110
2460,-0.519689,44.88653,E110
2461,-0.519795,44.88661,E110
2462,-0.517096,44.90645,E110
2463,-0.517226,44.906094,E110
2464,-0.49223,44.939686,E110
2465,-0.49218,44.939705,E110
