"codgeo","libgeo","an","dens_pop"
33293,"Montussan",2021,"415.78"
33294,"Morizès",2021,"91.02"
33295,"Mouillac",2021,"46.32"
33296,"Mouliets-et-Villemartin",2021,"64.47"
33297,"Moulis-en-Médoc",2021,"92.62"
33298,"Moulon",2021,"77.42"
33299,"Mourens",2021,"36.42"
33300,"Naujac-sur-Mer",2021,"11.01"
33301,"Naujan-et-Postiac",2021,"56.4"
33302,"Néac",2021,"47.83"
33303,"Nérigean",2021,"84.2"
33304,"Neuffons",2021,"29.57"
33305,"Le Nizan",2021,"33.36"
33306,"Noaillac",2021,"67.85"
33307,"Noaillan",2021,"52.26"
33308,"Omet",2021,115
33309,"Ordonnac",2021,"47.94"
33310,"Origne",2021,"6.95"
33311,"Paillet",2021,"482.8"
33312,"Parempuyre",2021,"465.23"
33314,"Pauillac",2021,"224.58"
33315,"Les Peintures",2021,"125.65"
33316,"Pellegrue",2021,"23.56"
33317,"Périssac",2021,"97.21"
33318,"Pessac",2021,"1720.62"
33319,"Pessac-sur-Dordogne",2021,"56.79"
33320,"Petit-Palais-et-Cornemps",2021,"51.12"
33321,"Peujard",2021,197
33322,"Le Pian-Médoc",2021,"236.05"
33323,"Le Pian-sur-Garonne",2021,"150.63"
33324,"Pineuilh",2021,"253.39"
33325,"Plassac",2021,"132.25"
33326,"Pleine-Selve",2021,"51.9"
33327,"Podensac",2021,"395.78"
33328,"Pomerol",2021,"96.45"
33329,"Pompéjac",2021,"27.84"
33330,"Pompignac",2021,"292.5"
33331,"Pondaurat",2021,"52.64"
33332,"Porchères",2021,"65.45"
33333,"Le Porge",2021,"22.62"
33334,"Portets",2021,"172.65"
33335,"Le Pout",2021,"158.72"
33336,"Préchac",2021,"16.28"
33337,"Preignac",2021,"161.28"
33339,"Prignac-et-Marcamps",2021,"146.39"
33341,"Pugnac",2021,"177.19"
33342,"Puisseguin",2021,"47.38"
33343,"Pujols-sur-Ciron",2021,"117.87"
33344,"Pujols",2021,"70.81"
33345,"Le Puy",2021,"48.54"
33346,"Puybarban",2021,"73.04"
33347,"Puynormand",2021,"40.53"
33348,"Queyrac",2021,"43.84"
33349,"Quinsac",2021,"273.46"
33350,"Rauzan",2021,"192.15"
33351,"Reignac",2021,"43.37"
33352,"La Réole",2021,"351.68"
33353,"Rimons",2021,"13.68"
33354,"Riocaud",2021,"18.85"
33355,"Rions",2021,"140.19"
33356,"La Rivière",2021,"130.62"
33357,"Roaillan",2021,"154.52"
33358,"Romagne",2021,"91.73"
33359,"Roquebrune",2021,"43.38"
33360,"La Roquille",2021,48
33361,"Ruch",2021,"38.76"
33362,"Sablons",2021,"111.02"
33363,"Sadirac",2021,"245.39"
33364,"Saillans",2021,60
33365,"Saint-Aignan",2021,"70.36"
33366,"Saint-André-de-Cubzac",2021,"556.45"
33367,"Saint-André-du-Bois",2021,"43.1"
33369,"Saint-André-et-Appelles",2021,"65.69"
33370,"Saint-Androny",2021,"48.63"
33372,"Saint-Antoine-du-Queyret",2021,"8.38"
33373,"Saint-Antoine-sur-l'Isle",2021,"55.77"
33374,"Saint-Aubin-de-Blaye",2021,"73.39"
33375,"Saint-Aubin-de-Branne",2021,"68.91"
33376,"Saint-Aubin-de-Médoc",2021,"218.53"
33377,"Saint-Avit-de-Soulège",2021,"27.86"
33378,"Saint-Avit-Saint-Nazaire",2021,80
33379,"Saint-Brice",2021,"54.14"
33380,"Val-de-Livenne",2021,"47.94"
33381,"Saint-Caprais-de-Bordeaux",2021,"333.98"
33382,"Saint-Christoly-de-Blaye",2021,"66.8"
33383,"Saint-Christoly-Médoc",2021,"36.32"
33384,"Saint-Christophe-des-Bardes",2021,"51.43"
33385,"Saint-Christophe-de-Double",2021,"16.93"
33386,"Saint-Cibard",2021,"54.86"
33387,"Saint-Ciers-d'Abzac",2021,"129.32"
33388,"Saint-Ciers-de-Canesse",2021,"111.76"
33389,"Saint-Ciers-sur-Gironde",2021,"80.44"
33390,"Sainte-Colombe",2021,"103.9"
33391,"Saint-Côme",2021,"55.33"
33392,"Sainte-Croix-du-Mont",2021,"93.89"
33393,"Saint-Denis-de-Pile",2021,"205.51"
33394,"Saint-Émilion",2021,"65.52"
33395,"Saint-Estèphe",2021,"68.81"
33396,"Saint-Étienne-de-Lisse",2021,"26.34"
33397,"Sainte-Eulalie",2021,"541.21"
33398,"Saint-Exupéry",2021,"40.48"
33399,"Saint-Félix-de-Foncaude",2021,"28.16"
33400,"Saint-Ferme",2021,"16.82"
33401,"Sainte-Florence",2021,"45.94"
33402,"Sainte-Foy-la-Grande",2021,5230
33403,"Sainte-Foy-la-Longue",2021,"14.57"
33404,"Sainte-Gemme",2021,"20.21"
33405,"Saint-Genès-de-Blaye",2021,"67.3"
33406,"Saint-Genès-de-Castillon",2021,"54.56"
33407,"Saint-Genès-de-Fronsac",2021,"133.29"
33408,"Saint-Genès-de-Lombaud",2021,"62.95"
33409,"Saint-Genis-du-Bois",2021,"37.39"
33411,"Saint-Germain-de-Grave",2021,"24.03"
33412,"Saint-Germain-d'Esteuil",2021,"29.42"
33413,"Saint-Germain-du-Puch",2021,"192.88"
33414,"Saint-Germain-de-la-Rivière",2021,"91.86"
33415,"Saint-Gervais",2021,"347.86"
33416,"Saint-Girons-d'Aiguevives",2021,"80.08"
33417,"Sainte-Hélène",2021,"23.49"
33418,"Saint-Hilaire-de-la-Noaille",2021,"33.16"
