"INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"33033","2020",11,11,0,100,0,"354935.818181818","3163.09090909091","114.818181818182"
"33034","2020",7,7,0,100,0,"138049.285714286","1010.57142857143",127
"33035","2020",10,10,0,100,0,192080,"1497.7","135.1"
"33036","2020",59,54,5,"91.5254237288136","8.47457627118644","175657.694915254","1793.71186440678","103.152542372881"
"33037","2020",20,18,2,90,10,"280322.5","3022.95","92.9"
"33038","2020",15,15,0,100,0,"164112.8","1557.46666666667","103.333333333333"
"33039","2020",403,197,206,"48.8833746898263","51.1166253101737","279309.53101737","3847.66004962779","73.439205955335"
"33040","2020",15,15,0,100,0,"179190.533333333","2059.73333333333","93.6666666666667"
"33042","2020",93,88,5,"94.6236559139785","5.37634408602151","270402.76344086","2543.05376344086","109.225806451613"
"33043","2020",1,1,0,100,0,237500,1979,120
"33044","2020",5,5,0,100,0,"253250.2","1850.4","144.4"
"33045","2020",5,5,0,100,0,186020,"1690.6","121.6"
"33046","2020",12,11,1,"91.6666666666667","8.33333333333333","157333.333333333","1697.83333333333","98.3333333333333"
"33047","2020",22,22,0,100,0,"181695.454545455","1636.36363636364","116.409090909091"
"33048","2020",2,2,0,100,0,168500,"2370.5",74
"33049","2020",24,24,0,100,0,"283328.75","2709.83333333333","105.916666666667"
"33050","2020",8,8,0,100,0,219290,"1758.75","130.5"
"33051","2020",156,122,34,"78.2051282051282","21.7948717948718","265053.134615385","3079.58333333333",89
"33052","2020",30,13,17,"43.3333333333333","56.6666666666667","152424.333333333","2035.56666666667","72.3"
"33053","2020",4,4,0,100,0,"190962.5","1599.25",122
"33054","2020",6,6,0,100,0,"171998.333333333","1457.66666666667",126
"33055","2020",2,2,0,100,0,218525,"1744.5",123
"33056","2020",161,112,49,"69.5652173913043","30.4347826086957","295919.819875776","3218.8198757764","95.2298136645963"
"33057","2020",17,17,0,100,0,"218374.411764706","1593.76470588235","135.588235294118"
"33058","2020",109,89,20,"81.651376146789","18.348623853211","122197.266055046","1390.53211009174","87.1467889908257"
"33059","2020",6,5,1,"83.3333333333333","16.6666666666667",160750,1729,"88.1666666666667"
"33060","2020",1,1,0,100,0,177500,2399,74
"33061","2020",7,7,0,100,0,"287785.714285714",2618,114
"33062","2020",9,9,0,100,0,"197789.444444444","1436.44444444444","133.444444444444"
"33063","2020",4690,1277,3413,"27.228144989339","72.771855010661","330927.800426439","4756.65245202559","71.1411513859275"
"33064","2020",1,1,0,100,0,107000,1783,60
"33065","2020",41,39,2,"95.1219512195122","4.8780487804878","503158.341463415","4231.68292682927","126.146341463415"
"33066","2020",4,4,0,100,0,223000,1624,"140.75"
"33067","2020",35,35,0,100,0,"142327.085714286","1686.31428571429","85.2857142857143"
"33068","2020",3,3,0,100,0,"227333.333333333","2137.66666666667",112
"33069","2020",433,228,205,"52.6558891454965","47.3441108545035","392963.614318707","4334.18013856813","87.5612009237875"
"33070","2020",8,8,0,100,0,"283318.75","2898.875","99.75"
"33071","2020",9,9,0,100,0,"150311.111111111","1457.11111111111","105.111111111111"
"33072","2020",1,1,0,100,0,270000,2727,99
"33073","2020",10,9,1,90,10,119550,1296,"91.7"
"33074","2020",1,1,0,100,0,40000,667,60
"33075","2020",322,126,196,"39.1304347826087","60.8695652173913","289488.133540373","3609.82608695652","80.0776397515528"
"33076","2020",9,9,0,100,0,"160483.333333333","1859.88888888889","87.3333333333333"
"33077","2020",30,29,1,"96.6666666666667","3.33333333333333","308547.733333333","2901.33333333333","114.5"
"33078","2020",3,3,0,100,0,"140333.333333333",1209,113
"33079","2020",1,1,0,100,0,230500,2022,114
