,TYPEQU,CATEGORIE,LONGITUDE,LATITUDE
132,D502,Action sociale pour enfants en bas-âge,-0.592083276236343,44.8679616887674
133,D502,Action sociale pour enfants en bas-âge,-0.591240279047983,44.869285454177
134,D502,Action sociale pour enfants en bas-âge,-0.578645760426285,44.877804735066
135,D502,Action sociale pour enfants en bas-âge,-0.593598609442904,44.8826864927837
136,D502,Action sociale pour enfants en bas-âge,-0.586437958735672,44.8788252501515
137,D502,Action sociale pour enfants en bas-âge,-0.612339009167005,44.8844079563634
138,D502,Action sociale pour enfants en bas-âge,-0.595899171410005,44.8826537107281
139,D502,Action sociale pour enfants en bas-âge,-0.604267182652589,44.88505674712
140,D502,Action sociale pour enfants en bas-âge,-0.528518715440788,44.7535186670567
141,D502,Action sociale pour enfants en bas-âge,-0.305241564093483,44.6317846336542
142,D502,Action sociale pour enfants en bas-âge,-0.487153780298264,44.7656010448315
143,D502,Action sociale pour enfants en bas-âge,-0.0297425626717026,45.014680243549
144,D502,Action sociale pour enfants en bas-âge,-0.644324731965737,44.7517836274189
145,D502,Action sociale pour enfants en bas-âge,-0.513564020712704,44.8918974043
146,D502,Action sociale pour enfants en bas-âge,-0.471792937966197,44.8124999016681
147,D502,Action sociale pour enfants en bas-âge,-0.61864750182302,45.1294298046493
148,D502,Action sociale pour enfants en bas-âge,-0.798887178538808,45.0232791417641
149,D502,Action sociale pour enfants en bas-âge,-0.155249810820306,44.5527667731991
150,D502,Action sociale pour enfants en bas-âge,-0.447741223449554,44.6883013823182
151,D502,Action sociale pour enfants en bas-âge,-0.39024838457735,45.0998782419402
152,D502,Action sociale pour enfants en bas-âge,-0.513906929047118,44.8534473565118
153,D502,Action sociale pour enfants en bas-âge,-0.530949503705505,44.8567762164234
154,D502,Action sociale pour enfants en bas-âge,-0.506987926869814,44.8483373691274
155,D502,Action sociale pour enfants en bas-âge,-0.336749695577809,44.6314309857824
156,D502,Action sociale pour enfants en bas-âge,-0.670002866761508,44.7334615600051
157,D502,Action sociale pour enfants en bas-âge,-0.712725113777817,44.7662024453867
158,D502,Action sociale pour enfants en bas-âge,-0.686825685307216,44.745858655137
159,D502,Action sociale pour enfants en bas-âge,-0.68419688293704,44.7412604827724
160,D502,Action sociale pour enfants en bas-âge,-0.850173084249377,45.3447763071838
161,D502,Action sociale pour enfants en bas-âge,-0.125234756407697,45.042102419782
162,D502,Action sociale pour enfants en bas-âge,-0.347540709661873,44.7716301952286
163,D502,Action sociale pour enfants en bas-âge,-0.221186091943047,44.3899941188697
164,D502,Action sociale pour enfants en bas-âge,-0.567016937053246,45.2265859644839
165,D502,Action sociale pour enfants en bas-âge,-0.626454984343297,44.8753622832314
166,D502,Action sociale pour enfants en bas-âge,-0.64782702502883,44.8647349709316
167,D502,Action sociale pour enfants en bas-âge,-0.642190160187947,44.8671348204282
